userId,countryCode,installedAt,osVersion,device,limitAdTracking,adjustId,adGroupName,trackerName,channel,campaign,creative,os_name,installedDate,countryName
812d3348Lad2093644ef09f377cadef2b7426,us,2024-01-01 01:50:33+00:00,17.0.3,iphone15,True,UXXD96842211606760,adGroupName 27,trackerName 28,channel 6,campaign 11,creative 13,ios,2024-01-01,United States
12113348Lcf1116d84663bf77d3c61f856c04,us,2024-01-01 23:28:13+00:00,17.0.3,iphone12mini,False,WUOE82945139732406,adGroupName 62,trackerName 66,channel 10,campaign 23,creative 39,ios,2024-01-01,United States
42b43348Lecb383fc4277b670649fdb17bce1,us,2024-01-01 16:37:45+00:00,17.0.3,iphone12,True,XLYC27464268363065,adGroupName 25,trackerName 26,channel 6,campaign 11,creative 13,ios,2024-01-01,United States
53523348L828abf9744cb8b4249ff31eea33c,us,2024-01-01 08:52:09+00:00,17.1,iphone15plus,True,NFDR01972641061440,adGroupName 42,trackerName 44,channel 9,campaign 18,creative 28,ios,2024-01-01,United States
84d63348Le24796af401dbc387832dd9678de,us,2024-01-01 08:33:35+00:00,17.1.1,iphone15promax,False,QRKO19074758967073,adGroupName 35,trackerName 37,channel 4,campaign 16,creative 22,ios,2024-01-01,United States
a5e23348L2fdde43748d1a4dfd1f6c62fcc57,us,2024-01-01 02:53:04+00:00,17.1.1,iphone11,True,NJYS04600953054159,adGroupName 28,trackerName 29,channel 7,campaign 12,creative 14,ios,2024-01-01,United States
d2893348Le17a7e674f7cbe9ebbc6493aa115,us,2024-01-01 23:44:09+00:00,17.1.1,iphonese(3rdgeneration),True,SSDA52295268910889,adGroupName 21,trackerName 22,channel 5,campaign 10,creative 12,ios,2024-01-01,United States
97fd3348Lf4a368b440698a7810287f425eff,us,2024-01-01 03:03:24+00:00,17.1.1,iphone12pro,True,SXUM86728597111694,adGroupName 77,trackerName 81,channel 3,campaign 26,creative 6,ios,2024-01-01,United States
db033348Lbc996cac42d2b7fc270fd49e42c0,us,2024-01-01 17:04:54+00:00,17.1.2,iphone12mini,True,RPTT11856856256407,adGroupName 79,trackerName 83,channel 3,campaign 26,creative 6,ios,2024-01-01,United States
62fa3348L028b5744456b813e2b687e70b3c0,us,2024-01-01 03:19:45+00:00,17.1.2,iphonese(3rdgeneration),True,NBGI53408663890799,adGroupName 22,trackerName 23,channel 5,campaign 10,creative 12,ios,2024-01-01,United States
4c993348L952c25104ce9b8011d6eef335364,us,2024-01-01 08:02:29+00:00,17.1.2,iphone12,True,YXGX82997455059970,adGroupName 78,trackerName 82,channel 3,campaign 26,creative 6,ios,2024-01-01,United States
f5773348L7cd788794c25a4797f96e8acd38e,us,2024-01-01 17:06:05+00:00,17.1.2,iphone15,True,WKMA40630588865950,adGroupName 80,trackerName 84,channel 3,campaign 26,creative 6,ios,2024-01-01,United States
8c6d3348L712fea8344339d7558f9ee3bff9a,us,2024-01-01 11:00:51+00:00,17.2,iphone14promax,True,KIDC87584521026972,adGroupName 57,trackerName 60,channel 10,campaign 23,creative 39,ios,2024-01-01,United States
c6ce3348L70d8d85f475abcabbcfeb449d340,us,2024-01-01 02:14:39+00:00,17.2,ipad,True,FHNF44275145085090,adGroupName 44,trackerName 46,channel 9,campaign 18,creative 27,ios,2024-01-01,United States
affd3348L5492477a48ecad7101d29d21ee0c,us,2024-01-01 21:01:26+00:00,17.2,iphone13,True,ODSU30934265667900,adGroupName 43,trackerName 45,channel 9,campaign 18,creative 26,ios,2024-01-01,United States
93ca3348Lb927193f419a974c1e0b551294f3,us,2024-01-01 19:34:39+00:00,17.3,iphone13,True,XVND98780605311589,adGroupName 67,trackerName 71,channel 10,campaign 23,creative 39,ios,2024-01-01,United States
43623348La15dd74d4a689e17e0ef205feaaa,us,2024-01-01 13:30:38+00:00,17.3,iphone11pro,True,CORN41703339382907,adGroupName 69,trackerName 73,channel 6,campaign 24,creative 13,ios,2024-01-01,United States
6dfc3348Lfb7c62ba4787ba33b4f974f06d11,us,2024-01-01 13:04:42+00:00,17.3,iphone11,True,HCUY86380913361191,adGroupName 31,trackerName 32,channel 7,campaign 12,creative 17,ios,2024-01-01,United States
b5da3348L3c468eac472fa64d0df5b8aa51ed,us,2024-01-01 17:23:58+00:00,17.3,ipadpro,True,ENEI15490798525121,adGroupName 26,trackerName 27,channel 6,campaign 11,creative 13,ios,2024-01-01,United States
fa9c3348Le4b1895b4c60bcd226be581387e2,us,2024-01-01 02:40:06+00:00,17.3,iphone14promax,True,KRHX88778575476792,adGroupName 57,trackerName 62,channel 10,campaign 23,creative 40,ios,2024-01-01,United States
